videoid,videourl,good_sub,sub,title,query_phrase,channel,channel_id,channel_url,punctuation_count,subtitle_duration,channel_follower_count,upload_date,duration,view_count,categories,like_count,subtitle_coverage
OWzNLh3GxeQ,https://www.youtube.com/watch?v=OWzNLh3GxeQ,True,True,تاریخ جنگ جهانی دوم در 18 دقیقه – چگونه جنگ جهانی دوم شروع شد,,Time Cast,@time_cast,https://www.youtube.com/@time_cast,196,958.36,8530.0,20230326.0,1076.0,84688.0,['People & Blogs'],1775.0,
Ygc4u3xo34A,https://www.youtube.com/watch?v=Ygc4u3xo34A,True,True,سرقت ۱۲ ساعته از بانک ملی خیابان انقلاب | جزئیات عملیات چه بود ؟,,انتقام ـ Entgham ,@entgham,https://www.youtube.com/@entgham,10,1025.4,10000.0,20241128.0,1077.0,1118.0,['Entertainment'],35.0,
WdxdAnE9b9Y,https://www.youtube.com/watch?v=WdxdAnE9b9Y,True,True,خشنترین هایجک تاریخ ایران و عملیات ویژه تیم رهایی گروگان نوهد ارتش,,پرشین ترند,@Persian_trend,https://www.youtube.com/@Persian_trend,7,1204.68,68000.0,20240302.0,1320.0,347690.0,['Autos & Vehicles'],3585.0,
779pe4G4WGw,https://www.youtube.com/watch?v=779pe4G4WGw,True,True,چاپ برچسب تبلیغاتی اولین گام بازاریابی ویژه سرویسکاران,,موبیست | آموزش تعمیر پکیج | آموزش تعمیر کولر گازی,@mo20-ir,https://www.youtube.com/@mo20-ir,8,2118.48,8250.0,20231224.0,2119.0,1854.0,['Education'],54.0,
_NGd4UAYEfQ,https://www.youtube.com/watch?v=_NGd4UAYEfQ,True,True,Figur im Übergang zum Ornament / Hukmannen,,Mr. Schnitz,@mr.schnitz1342,https://www.youtube.com/@mr.schnitz1342,147,1458.47,19600.0,20210123.0,2668.0,2994.0,['People & Blogs'],133.0,
XTsqwQiYpdI,https://www.youtube.com/watch?v=XTsqwQiYpdI,True,True,‏‏‏۲۴ با فرداد فرحزاد: تحریم‌های تازه آمریکا و بریتانیا علیه سپاه قدس وحوثی‌های یمن,,Iran International,@IRANINTL,https://www.youtube.com/@IRANINTL,9,3177.49,696000.0,20240227.0,3348.0,35589.0,['Entertainment'],331.0,
ZI2rF0apH40,https://www.youtube.com/watch?v=ZI2rF0apH40,True,True,گوشت ۶۰۰ دلاری خوردیم,شیکو چین,Kouman ,@Kouman,https://www.youtube.com/@Kouman,381,951.73,495000.0,20230505.0,1148.0,1271689.0,['Entertainment'],43642.0,
JpP6cNezf5k,https://www.youtube.com/watch?v=JpP6cNezf5k,True,True,هری ترومن، تنها رییس جمهور امریکا با پرتاب بمب اتم,پیمان عاشوری بندری,Bplus Podcast,@BplusPodcast,https://www.youtube.com/@BplusPodcast,70,3018.91,213000.0,20230622.0,3134.0,145949.0,['Education'],3296.0,
BJIBqav0-CU,https://www.youtube.com/watch?v=BJIBqav0-CU,True,True,Bijan Moosavi: Live In The Void (زنده در عدَم) 360º VR (2015),,Bijan Moosavi,@BijanMoosaviTV,https://www.youtube.com/@BijanMoosaviTV,77,1268.58,77.0,20170416.0,2963.0,823.0,['Music'],7.0,
kTQ-xRkMb7s,https://www.youtube.com/watch?v=kTQ-xRkMb7s,True,True,اسرار گنج دره جنی (۱۳۵۳) - The Ghost Valley's Treasure Myster,,mehranshargh,@mehranshargh,https://www.youtube.com/@mehranshargh,48,5086.16,41300.0,20151012.0,8646.0,38169.0,['Education'],269.0,
kG-QEpf7-3M,https://www.youtube.com/watch?v=kG-QEpf7-3M,True,True,نظریه زبان و ماشین ها قسمت 6,,iman far,@imanfar,https://www.youtube.com/@imanfar,1297,3127.25,3500.0,20230719.0,4304.0,400.0,['Education'],2.0,
_GCLoF1zWCw,https://www.youtube.com/watch?v=_GCLoF1zWCw,True,True,دروغ پردازی درباره ی جایگاه بانوان در شاهنامه,,@dr_ghiyamati,@dr_ghiyamati,https://www.youtube.com/@dr_ghiyamati,912,3447.04,1050.0,20240928.0,3457.0,805.0,['People & Blogs'],99.0,
gKPKNRwPmKw,https://www.youtube.com/watch?v=gKPKNRwPmKw,True,True,بغداد قرن هشتم، سیلیکون ولی باستانی,سوریه در سده میلادی,OnTen,@OnTenTV,https://www.youtube.com/@OnTenTV,52,1098.5,414000.0,20240920.0,1421.0,267967.0,['People & Blogs'],6487.0,
oyPeZZ5QDJs,https://www.youtube.com/watch?v=oyPeZZ5QDJs,True,True,آیا فرا انسان گرایی اخلاقی است؟,اینده گرایی,selficast,@selficast6,https://www.youtube.com/@selficast6,20,1257.48,3440.0,20240929.0,1256.0,98.0,['Science & Technology'],7.0,
K6VcZG7XcFk,https://www.youtube.com/watch?v=K6VcZG7XcFk,True,True,معرفی برنامه نجوم استلاریوم و صورتهای فلکی و  ستاره شناس ایرانی فارسی _ Stellarium Farsi,,PicaSco,@Picasco,https://www.youtube.com/@Picasco,78,731.11,23500.0,20200122.0,1250.0,45589.0,['Education'],816.0,
EjIyGWKfyqI,https://www.youtube.com/watch?v=EjIyGWKfyqI,True,True,چند شنبه با سینا | فصل ششم | قسمت 8 | با حضور مزدک میرزایی | مجری و گزارشگر,,Sina Valiollah,@SinaYouTube,https://www.youtube.com/@SinaYouTube,693,2995.41,234000.0,20241108.0,3479.0,433091.0,['Entertainment'],5212.0,
CAbNHhFTh8w,https://www.youtube.com/watch?v=CAbNHhFTh8w,True,True,ایران و آلمان تاریخچه‌ی روابط فرهنگی و سیاسی,,Bplus Podcast,@BplusPodcast,https://www.youtube.com/@BplusPodcast,12,2566.22,213000.0,20240523.0,2579.0,124894.0,['Education'],2374.0,
ywSaLOhMUpM,https://www.youtube.com/watch?v=ywSaLOhMUpM,True,True,Thailand 🇹🇭 فیلم کامل سفر به سرتاسر تایلند,,Persian Explorers,@PersianExplorers,https://www.youtube.com/@PersianExplorers,24,11944.89,41500.0,20240322.0,14027.0,76801.0,['Travel & Events'],718.0,
eGzxUlVP5O4,https://www.youtube.com/watch?v=eGzxUlVP5O4,True,True,I Tried Polish MRE 💥 غذای ارتش لهستان رو تست کردم,غذای نظامی,ARIA KEOXER,@AriaKeoXer,https://www.youtube.com/@AriaKeoXer,68,1293.88,643000.0,20230313.0,1394.0,275377.0,['Entertainment'],14058.0,
pan4toYBE2U,https://www.youtube.com/watch?v=pan4toYBE2U,True,True,تیتر‌اول؛ رضا شاه روحت شاد در خیابان های کرج/ دیپلمات جمهوری اسلامی به دلیل کشتار ۶۷ در راه دادگاه,,Iran International,@IRANINTL,https://www.youtube.com/@IRANINTL,88,2385.46,696000.0,20210727.0,2521.0,116859.0,['News & Politics'],1087.0,
aY6dHtGux0U,https://www.youtube.com/watch?v=aY6dHtGux0U,True,True,شش تا از بدی های کشور بلژیک برای مهاجرت (واقعیت),,Euromin,@Euromin,https://www.youtube.com/@Euromin,7,625.64,8400.0,20240523.0,625.0,5482.0,['Education'],139.0,
lawUjG0yDBE,https://www.youtube.com/watch?v=lawUjG0yDBE,True,True,پادکست تاریخی جنگ جهانی دوم: آزمایشگاه انسانی ژاپن برای پیشرفت علم پزشکی و سلاح مرگبار,شهرهای بندری ژاپن,Bplus Podcast,@BplusPodcast,https://www.youtube.com/@BplusPodcast,55,778.29,213000.0,20220113.0,799.0,221401.0,['Education'],6982.0,
Dh9hAmFQI5g,https://www.youtube.com/watch?v=Dh9hAmFQI5g,True,True,داستان های فارسی: داستان واقعی - سرگذشت دختری به نام شربت: قسمت 1,,داستان های عاشقانه با سحر,@Sahar_stories,https://www.youtube.com/@Sahar_stories,22,5406.51,4630.0,20250107.0,5411.0,5622.0,['Entertainment'],270.0,
3sd5QXBTn1k,https://www.youtube.com/watch?v=3sd5QXBTn1k,True,True,رییس‌جمهور جانشین و تغییر روابط آمریکا و ایران؛ جرالد فورد,,Bplus Podcast,@BplusPodcast,https://www.youtube.com/@BplusPodcast,105,5219.91,212000.0,20240829.0,5423.0,199905.0,['Education'],2368.0,
HJvfjEehyBc,https://www.youtube.com/watch?v=HJvfjEehyBc,True,True,راز سقوط هواپیمای C 130 هرکولس ارتش و مرگ فرماندهان اصلی جنگ,,پرشین ترند,@Persian_trend,https://www.youtube.com/@Persian_trend,78,1728.73,68000.0,20230919.0,1941.0,78599.0,['Autos & Vehicles'],1743.0,
